resnet_layers,hardware,epoch,training_step,training_step_loss,training_step_time
50,V100,0,0,13.322277069091797,6.65362024307251
50,V100,0,1,7.019899845123291,0.06407666206359863
50,V100,0,2,4.346029281616211,0.05171942710876465
50,V100,0,3,3.7095508575439453,0.053324222564697266
50,V100,0,4,3.5607638359069824,0.05385160446166992
50,V100,0,5,4.032090663909912,0.05270576477050781
50,V100,0,6,2.668717861175537,0.053849220275878906
50,V100,0,7,4.557339191436768,0.05297255516052246
50,V100,0,8,5.248215198516846,0.05815720558166504
50,V100,0,9,3.8431859016418457,0.05304741859436035
50,V100,0,10,10.56116771697998,0.0532069206237793
50,V100,0,11,7.067450523376465,0.05146169662475586
50,V100,0,12,10.018451690673828,0.04380059242248535
50,V100,0,13,3.2123913764953613,0.0438687801361084
50,V100,0,14,6.8839826583862305,0.04377937316894531
50,V100,0,15,3.15535831451416,0.04388546943664551
50,V100,0,16,4.5726637840271,0.049051523208618164
50,V100,0,17,5.905702590942383,0.0532221794128418
50,V100,0,18,3.942032814025879,0.05812644958496094
50,V100,0,19,2.786419630050659,0.05735063552856445
50,V100,0,20,3.4274494647979736,0.05658674240112305
50,V100,0,21,4.605685710906982,0.05616569519042969
50,V100,0,22,2.5352957248687744,0.05617094039916992
50,V100,0,23,4.102105140686035,0.05744171142578125
50,V100,0,24,6.074941635131836,0.056482791900634766
50,V100,0,25,4.848294258117676,0.05744600296020508
50,V100,0,26,3.349579334259033,0.05705738067626953
50,V100,0,27,2.9093899726867676,0.0550837516784668
50,V100,0,28,4.638892650604248,0.0491642951965332
50,V100,0,29,3.5339102745056152,0.04900717735290527
50,V100,0,30,4.001838207244873,0.049247026443481445
50,V100,0,31,2.775317907333374,0.04882240295410156
50,V100,0,32,2.5551977157592773,0.049420833587646484
50,V100,0,33,5.19491720199585,0.05261850357055664
50,V100,0,34,4.630821228027344,0.051432132720947266
50,V100,0,35,4.009493827819824,0.05188345909118652
50,V100,0,36,4.5267252922058105,0.0526270866394043
50,V100,0,37,3.7629234790802,0.05236530303955078
50,V100,0,38,3.9474003314971924,0.052336692810058594
50,V100,0,39,3.251986265182495,0.052170753479003906
50,V100,0,40,3.254357099533081,0.05165529251098633
50,V100,0,41,3.1806883811950684,0.052370309829711914
50,V100,0,42,2.6776275634765625,0.0519871711730957
50,V100,0,43,3.0340628623962402,0.052437543869018555
50,V100,0,44,2.5193192958831787,0.04485440254211426
50,V100,0,45,3.6048338413238525,0.04508638381958008
50,V100,0,46,2.732480049133301,0.052663564682006836
50,V100,0,47,2.6589841842651367,0.0523371696472168
50,V100,0,48,2.5996146202087402,0.05262279510498047
50,V100,0,49,2.5213258266448975,0.04933881759643555
50,V100,0,50,2.3207695484161377,0.05189943313598633
50,V100,0,51,2.9088728427886963,0.052091121673583984
50,V100,0,52,2.5793726444244385,0.05196642875671387
50,V100,0,53,2.3863255977630615,0.0520472526550293
50,V100,0,54,2.676835775375366,0.049337148666381836
50,V100,0,55,2.2706401348114014,0.048381805419921875
50,V100,0,56,2.5233376026153564,0.052430152893066406
50,V100,0,57,2.4593148231506348,0.05607295036315918
50,V100,0,58,2.3381099700927734,0.044742584228515625
50,V100,0,59,2.51218843460083,0.04465031623840332
50,V100,0,60,2.7333731651306152,0.0441126823425293
50,V100,0,61,2.6930794715881348,0.04389667510986328
50,V100,0,62,2.8316609859466553,0.04379606246948242
50,V100,0,63,2.174288749694824,0.04463505744934082
50,V100,0,64,2.246997594833374,0.045665740966796875
50,V100,0,65,2.170644998550415,0.044799089431762695
50,V100,0,66,2.5652732849121094,0.04476785659790039
50,V100,0,67,3.2732696533203125,0.04469585418701172
50,V100,0,68,2.245145320892334,0.044952392578125
50,V100,0,69,2.722553014755249,0.044457435607910156
50,V100,0,70,2.369866371154785,0.0443577766418457
50,V100,0,71,3.1154487133026123,0.04446864128112793
50,V100,0,72,2.8950231075286865,0.044477224349975586
50,V100,0,73,2.1223363876342773,0.05240201950073242
50,V100,0,74,2.5258114337921143,0.05353689193725586
50,V100,0,75,2.3177738189697266,0.05337858200073242
50,V100,0,76,2.359992504119873,0.04651594161987305
50,V100,0,77,2.336728811264038,0.04447150230407715
50,V100,0,78,2.572514772415161,0.04409980773925781
50,V100,0,79,2.0748541355133057,0.04453468322753906
50,V100,0,80,2.2634525299072266,0.04418516159057617
50,V100,0,81,2.5134117603302,0.04440498352050781
50,V100,0,82,2.4889297485351562,0.043930768966674805
50,V100,0,83,4.477457046508789,0.04483532905578613
